INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
11118240,04/28/2006,23:01:00,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,true,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1010472.312500000000000,239213.609375000000000,40.823230997000053,-73.905256773999952,POINT (-73.90525677399995 40.82323099700005)
233459106,09/10/2021,17:35:00,BROOKLYN,,79,2,,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,18-24,M,BLACK,998205,190419,40.68933015300007,-73.94968144799998,POINT (-73.94968144799998 40.68933015300007)
232263466,08/13/2021,03:56:00,QUEENS,,106,0,,,false,,,,18-24,F,BLACK,1035200,190461,40.68930978800007,-73.81628200299998,POINT (-73.81628200299998 40.68930978800007)
138364300,08/23/2014,00:35:00,BROOKLYN,,67,0,,,false,25-44,M,BLACK,18-24,M,BLACK,997703.562500000000000,178036.734375000000000,40.655344386000024,-73.951514280999959,POINT (-73.95151428099996 40.655344386000024)
140555114,01/15/2015,03:59:00,QUEENS,,106,0,,HOTEL/MOTEL,false,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1032779.875000000000000,186006.687500000000000,40.677097338000067,-73.82504073299998,POINT (-73.82504073299998 40.67709733800007)
89238891,02/20/2013,00:30:00,BROOKLYN,,71,0,,,false,18-24,M,BLACK,25-44,F,BLACK,1003694.937500000000000,182268.750000000000000,40.666949205000037,-73.929908936999936,POINT (-73.92990893699994 40.66694920500004)
78388278,04/24/2011,21:03:00,MANHATTAN,,25,0,,,false,,,,25-44,M,WHITE HISPANIC,1001943.375000000000000,229717.515625000000000,40.797188059000064,-73.936097966999967,POINT (-73.93609796699998 40.797188059000064)
80581440,09/04/2011,02:44:00,BROOKLYN,,70,0,,,false,,,,18-24,M,BLACK,996624.000000000000000,173200.000000000000000,40.642070172000047,-73.955413937999936,POINT (-73.95541393799994 40.64207017200005)
71531608,03/01/2010,02:33:00,BROOKLYN,,77,0,,,false,UNKNOWN,M,BLACK,18-24,M,BLACK,1003944.312500000000000,185759.203125000000000,40.676529164000044,-73.928999825999938,POINT (-73.92899982599994 40.676529164000044)
95273802,03/08/2014,23:15:00,BROOKLYN,,67,0,,,false,,,,25-44,M,BLACK,998403.750000000000000,172783.359375000000000,40.640923917000066,-73.949001801999941,POINT (-73.94900180199994 40.640923917000066)
26658045,02/03/2007,03:41:00,BROOKLYN,,73,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,1009904.750000000000000,180751.468750000000000,40.66276879000003,-73.907530424999948,POINT (-73.90753042499995 40.66276879000003)
199741932,07/14/2019,02:22:00,MANHATTAN,,25,0,,,true,,,,25-44,M,BLACK,1001354.125000000000000,234575.984375000000000,40.810524380000061,-73.938213794999967,POINT (-73.93821379499997 40.81052438000006)
158064300,10/29/2016,13:43:00,BROOKLYN,,79,0,,,false,25-44,M,ASIAN / PACIFIC ISLANDER,45-64,M,BLACK,1000787.937500000000000,189717.640625000000000,40.687400633000038,-73.940369420999957,POINT (-73.94036942099996 40.687400633000046)
55532387,01/08/2009,15:00:00,BRONX,,41,0,,,false,18-24,M,BLACK,18-24,M,BLACK,1015096.000000000000000,239225.000000000000000,40.823247326000057,-73.888550743999986,POINT (-73.88855074399999 40.82324732600006)
75726084,11/25/2010,01:30:00,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,false,18-24,M,WHITE HISPANIC,18-24,F,WHITE HISPANIC,1000101.500000000000000,229680.187500000000000,40.797089099000061,-73.942750385999943,POINT (-73.94275038599994 40.79708909900006)
229540932,06/14/2021,01:54:00,QUEENS,,113,0,,,false,25-44,M,BLACK,25-44,M,BLACK,1049028,187573,40.68129251100004,-73.76644790999995,POINT (-73.76644790999995 40.68129251100004)
147395067,10/31/2015,00:32:00,QUEENS,,115,0,,,false,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,1016071.500000000000000,213176.203125000000000,40.751746943000057,-73.885149532999947,POINT (-73.88514953299995 40.751746943000065)
82188998,12/14/2011,21:15:00,BROOKLYN,,75,0,,MULTI DWELL - APT BUILD,false,,,,18-24,M,BLACK,1022249.937500000000000,183490.578125000000000,40.670242654000049,-73.863017552999963,POINT (-73.86301755299998 40.67024265400005)
232299783,08/16/2021,00:16:00,QUEENS,,102,0,,,false,,,,18-24,M,BLACK,1026232,187669,40.68169347800006,-73.84863683499998,POINT (-73.84863683499998 40.68169347800006)
152396024,04/22/2016,02:17:00,BROOKLYN,,71,0,,,false,25-44,M,BLACK,25-44,M,BLACK,995671.187500000000000,183338.578125000000000,40.669899630000032,-73.958830058999979,POINT (-73.95883005899998 40.66989963000003)
